"age","workclass","fnlwgt","went.to.college","education.years","is.married","occupation","relationship","race","is.male","capital.gain","capital.loss","hours.per.week","native.country","income.over.50k"
39,"State-gov",77516,0,13,0,"Adm-clerical","Not-in-family","White",1,2174,0,40,"United-States","<=50K"
50,"Self-emp-not-inc",83311,0,13,1,"Exec-managerial","Husband","White",1,0,0,13,"United-States","<=50K"
38,"Private",215646,0,9,0,"Handlers-cleaners","Not-in-family","White",1,0,0,40,"United-States","<=50K"
53,"Private",234721,0,7,1,"Handlers-cleaners","Husband","Black",1,0,0,40,"United-States","<=50K"
28,"Private",338409,0,13,1,"Prof-specialty","Wife","Black",0,0,0,40,"Cuba","<=50K"
37,"Private",284582,1,14,1,"Exec-managerial","Wife","White",0,0,0,40,"United-States","<=50K"
49,"Private",160187,0,5,0,"Other-service","Not-in-family","Black",0,0,0,16,"Jamaica","<=50K"
52,"Self-emp-not-inc",209642,0,9,1,"Exec-managerial","Husband","White",1,0,0,45,"United-States",">50K"
31,"Private",45781,1,14,0,"Prof-specialty","Not-in-family","White",0,14084,0,50,"United-States",">50K"
42,"Private",159449,0,13,1,"Exec-managerial","Husband","White",1,5178,0,40,"United-States",">50K"
37,"Private",280464,1,10,1,"Exec-managerial","Husband","Black",1,0,0,80,"United-States",">50K"
30,"State-gov",141297,0,13,1,"Prof-specialty","Husband","Asian-Pac-Islander",1,0,0,40,"India",">50K"
23,"Private",122272,0,13,0,"Adm-clerical","Own-child","White",0,0,0,30,"United-States","<=50K"
32,"Private",205019,0,12,0,"Sales","Not-in-family","Black",1,0,0,50,"United-States","<=50K"
40,"Private",121772,0,11,1,"Craft-repair","Husband","Asian-Pac-Islander",1,0,0,40,"",">50K"
34,"Private",245487,0,4,1,"Transport-moving","Husband","Amer-Indian-Eskimo",1,0,0,45,"Mexico","<=50K"
25,"Self-emp-not-inc",176756,0,9,0,"Farming-fishing","Own-child","White",1,0,0,35,"United-States","<=50K"
32,"Private",186824,0,9,0,"Machine-op-inspct","Unmarried","White",1,0,0,40,"United-States","<=50K"
38,"Private",28887,0,7,1,"Sales","Husband","White",1,0,0,50,"United-States","<=50K"
43,"Self-emp-not-inc",292175,1,14,0,"Exec-managerial","Unmarried","White",0,0,0,45,"United-States",">50K"
40,"Private",193524,1,16,1,"Prof-specialty","Husband","White",1,0,0,60,"United-States",">50K"
54,"Private",302146,0,9,0,"Other-service","Unmarried","Black",0,0,0,20,"United-States","<=50K"
35,"Federal-gov",76845,0,5,1,"Farming-fishing","Husband","Black",1,0,0,40,"United-States","<=50K"
43,"Private",117037,0,7,1,"Transport-moving","Husband","White",1,0,2042,40,"United-States","<=50K"
59,"Private",109015,0,9,0,"Tech-support","Unmarried","White",0,0,0,40,"United-States","<=50K"
56,"Local-gov",216851,0,13,1,"Tech-support","Husband","White",1,0,0,40,"United-States",">50K"
19,"Private",168294,0,9,0,"Craft-repair","Own-child","White",1,0,0,40,"United-States","<=50K"
54,"",180211,1,10,1,"","Husband","Asian-Pac-Islander",1,0,0,60,"South",">50K"
39,"Private",367260,0,9,0,"Exec-managerial","Not-in-family","White",1,0,0,80,"United-States","<=50K"
49,"Private",193366,0,9,1,"Craft-repair","Husband","White",1,0,0,40,"United-States","<=50K"
23,"Local-gov",190709,0,12,0,"Protective-serv","Not-in-family","White",1,0,0,52,"United-States","<=50K"
