"ucc"	"count"	"avg.cost"	"descr"
"480"	"790240"	14418	335.993688444999	"AVG FOOD/NONALC BEV EXPENSES"
"479"	"790210"	11865	470.720606826801	"REGULAR GROC SHOPPING INCL GOODS"
"291"	"470111"	10779	221.607291956582	"GASOLINE"
"482"	"790410"	9309	192.624234611666	"DINING OUT AT REST., ETC EXCL ALC"
"93"	"270310"	8739	72.2962581531068	"CABLE/SATELLITE/COM ANTENNA SERV"
"86"	"270102"	8575	95.5078717201166	"CELLULAR PHONE SERVICE"
"460"	"690114"	7903	38.7274452739466	"COMPUTER INFORMATION SERVICES"
"28"	"220211"	7740	229.23688630491	"PROPERTY TAXES OWND"
"571"	"910050"	7725	108.068025889968	"RENTAL EQUIVALENCE OF OWNED HOME"
"575"	"910104"	7680	1281.71705729167	"CPI ADJ RENT EQUIV OF OWNED HOME"
"501"	"800721"	7677	19309.7601927836	"MARKET VALUE OF OWNED HOME"
"78"	"260112"	7528	136.538921360255	"ELECTRICITY OWND"
"85"	"270101"	7180	53.1866295264624	"RESIDENTIAL TELEPHONES/PAY PHONES"
"434"	"650310"	7008	39.8892694063927	"PERS. CARE SERV."
"90"	"270212"	6735	44.1564959168523	"WATER AND SEWERAGE MAINT OWND"
"30"	"220311"	4916	612.510984540277	"MORTGAGE INTEREST OWND"
"520"	"830201"	4835	-325.534850051706	"REDUCTION MORTGAGE PRINC OWND"
"348"	"540000"	4485	78.8789297658863	"PRESCRIPTION DRUGS"
"82"	"260212"	4308	81.4526462395543	"UTILITY--NATURAL GAS OWND"
"528"	"850100"	4212	-331.673789173789	"REDUCTION PRINC VEH LOAN"
"481"	"790330"	4137	49.4176939811458	"BEER/WINE/OTH ALC FOR HOME USE"
"408"	"620211"	4056	27.0717455621302	"MOVIE, THEATER, OPERA, BALLET"
"21"	"210110"	3996	738.524274274274	"RENT OF DWELLING"
"77"	"260111"	3416	101.696428571429	"ELECTRICITY RNTR"
"505"	"800831"	2926	202.743335611757	"CASH CONTS TO CHURCHES/REL. ORGS"
"370"	"580901"	2916	126.171227709191	"MEDICARE PAYMENTS"
"96"	"270412"	2828	36.2284299858557	"TRASH/GARBAGE COLLECT OWND"
"400"	"610320"	2494	54.0858059342422	"PET-PURCHASE/SUPPLIES/MEDICINE"
"378"	"590310"	2367	16.5910435149979	"MAGAZINE/NEWSPAPER SUBSCRIPTION"
"319"	"500110"	2339	380.299273193672	"VEHICLE INSURANCE"
"423"	"620912"	2208	7.97373188405797	"RNTL VIDEO CASS/TAPES/DISCS/FILMS"
"546"	"870204"	2206	264.371713508613	"PRINCIPAL, USED CARS/TRUCKS, FIN."
"545"	"870203"	2188	51.4351005484461	"INTEREST, USED CARS/TRUCKS, FIN."
"377"	"590230"	2115	21.1957446808511	"BOOKS NOT THRU BOOK CLUBS"
"483"	"790420"	2082	48.8890489913545	"ALCOHOL AT RESTAURANTS ETC"
"429"	"630110"	2079	142.974987974988	"CIGARETTES"
"321"	"510901"	2001	60.9950024987506	"TRUCK FINANCE CHARGES"
"89"	"270211"	1975	35.3787341772152	"WATER AND SEWERAGE MAINT RNTR"
"320"	"510110"	1905	49.2246719160105	"AUTOMOBILE FINANCE CHARGES"
"367"	"580311"	1767	187.672325976231	"HLTH MAINT. ORG (NO BCBS)"
"353"	"560110"	1765	104.688385269122	"PHYSICIANS SERVICES"
"402"	"620111"	1719	66.4700407213496	"SOCIAL/RECRE/CIVIC CLUB MEMBRSHP"
"542"	"870104"	1708	376.080210772834	"PRINCIPAL, NEW CARS/TRUCKS, FIN."
"541"	"870103"	1692	60.4745862884161	"INTEREST, NEW CARS/TRUCKS, FIN."
"271"	"440210"	1689	27.4428656009473	"APPAREL LNDRY/DRY CLNG N/COIN-OP"
"309"	"490312"	1637	46.1814294441051	"LUBE, OIL CHANGE AND OIL FILTERS"
"504"	"800821"	1612	164.127171215881	"CASH CONTS TO CHARITIES/OTH ORG"
"267"	"440120"	1503	25.71124417831	"COIN-OP APPAREL LDRY/DRY CLNG"
"379"	"590410"	1449	7.35541752933057	"MAGAZINE/NEWSPAPER SINGLE COPY"
"132"	"310220"	1416	16.8142655367232	"VIDEO CASSETTES/TAPES/DISCS"
"81"	"260211"	1405	61.1879003558719	"UTILITY--NATURAL GAS RNTR"
"508"	"800861"	1398	303.834763948498	"OTHER CASH GIFTS"
"477"	"700110"	1397	188.755189692198	"LIFE/ENDOW/ANNUIT/OTH PERS INS"
"450"	"680220"	1395	15.0924731182796	"CHECK ACCTS / OTH BANK SERV CHGS"
"18"	"190903"	1341	158.152125279642	"FOOD OUT OF TOWN TRIPS"
"231"	"380313"	1230	65.2317073170732	"WOMENS SHIRTS, TOPS,BLOUSES"
"330"	"520531"	1224	28.0555555555556	"PRKNG FEE IN HME CITY EXCL RSDNC"
"373"	"580905"	1215	44.4872427983539	"OTHER HEALTH INSURANCE (NO BCBS)"
"332"	"520541"	1200	23.315	"TOLLS OR ELECTRONIC TOLL PASSES"
"366"	"580114"	1188	199.189393939394	"PREF PROVIDER HLTH PLN (BCBS)"
"406"	"620121"	1187	74.9907329401853	"FEES FOR PARTICIPANT SPORTS"
"341"	"530311"	1167	61.9151670951157	"INTRACITY MASS TRANSIT FARES"
"233"	"380333"	1162	68.8123924268503	"WOMENS PANTS AND SHORTS"
"365"	"580113"	1152	193.888020833333	"PREF PROVIDER HLTH PLN (NO BCBS)"
"293"	"470113"	1141	117.850780017528	"GASOLINE ON OUT OF TOWN TRIPS"
"295"	"470212"	1141	1.19041191936897	"MOTOR OIL ON OUT OF TOWN TRIPS"
"427"	"620926"	1140	53.1482456140351	"LOTTERIES AND PARIMUTUEL LOSSES"
"375"	"580907"	1094	56.3318098720293	"MEDICARE PRES. DRUG PREMIUMS"
"394"	"610110"	1039	117.823869104909	"TOYS GAMES ARTS CRAFTS TRICYCLES"
"255"	"400310"	1021	75.8315377081293	"WOMENS FOOTWEAR"
"180"	"340410"	1015	95.7635467980296	"GARDENING/LAWN CARE SERVICE"
"484"	"790430"	981	65.203873598369	"SCHOOL MEALS"
"26"	"220121"	972	366.103909465021	"HOMEOWNERS INSURANCE OWND"
"143"	"310340"	963	13.5534787123572	"RECORDS,CDS,AUDIO TAPES"
"368"	"580312"	933	204.111468381565	"HLTH MAINT. ORG (BCBS)"
"478"	"710110"	930	38.0354838709677	"FINANCE CHARGES EXCL MORT/VEH"
"323"	"520110"	915	120.093989071038	"VEHICLE REGISTRATION STATE/LOCAL"
"212"	"360513"	910	71.5967032967033	"MENS PANTS AND SHORTS"
"4"	"006003"	870	-5165.56206896552	"TOTAL AMT OWED 2ND INTER,CY Q1"
"6"	"006005"	870	5165.56206896552	"TOTAL AMT OWED 2ND INTER,CY+1,Q1"
"144"	"310350"	862	9.89443155452436	"STREAMING/DOWNLOADING AUDIO"
"294"	"470211"	853	13.9718640093787	"MOTOROIL"
"354"	"560210"	833	301.015606242497	"DENTAL SERVICES"
"174"	"320903"	825	50.8278787878788	"INDOOR PLANTS, FRESH FLOWERS"
"211"	"360410"	819	61.043956043956	"MENS SHIRTS"
"485"	"790600"	790	171.923101265823	"MAINT/REP/UTIL OTH PROP"
"414"	"620330"	765	13.3437908496732	"FILM PROCESSING"
"2"	"006001"	750	5131.12	"TOTAL AMT OWED 2ND INTERVIEW"
"14"	"006013"	732	-6576.85519125683	"TOTAL AMT OWED CY Q4"
"15"	"006014"	732	6576.85519125683	"TOTAL AMT OWED CY+1,Q4"
"410"	"620221"	720	64.1319444444444	"ADMISSION TO SPORTING EVENTS"
"258"	"410130"	719	49.6620305980529	"INFANT UNDERGARMENTS"
"95"	"270411"	713	22.9705469845722	"TRASH/GARBAGE COLLECT RNTR"
"8"	"006007"	712	-5149.7654494382	"TOTAL AMT OWED CY Q1"
"9"	"006008"	712	5149.7654494382	"TOTAL AMT OWED CY+1,Q1"
"296"	"470220"	708	6.74152542372881	"COOLANT/ADDITIVES/BRK/TRNS FLD"
"10"	"006009"	695	-4796.97697841727	"TOTAL AMT OWED CY Q2"
"11"	"006010"	695	4796.97697841727	"TOTAL AMT OWED CY+1,Q2"
"22"	"210210"	684	400.701754385965	"LODGING AWAY FROM HOME"
"20"	"200900"	672	56.3318452380952	"ALC. BEV. PURCHASED ON TRIPS"
"12"	"006011"	630	-5167.59841269841	"TOTAL AMT OWED CY Q3"
"13"	"006012"	630	5167.59841269841	"TOTAL AMT OWED CY+1,Q3"
"252"	"400110"	618	83.6035598705502	"MENS FOOTWEAR"
"3"	"006002"	603	5313.54228855721	"TOTAL AMT OWED 5TH INTERVIEW"
"442"	"670310"	596	442.791946308725	"DAY CARE/NURS/PRSCH EXP INCL TUIT"
"29"	"220212"	594	189.987373737374	"PROPERTY TAXES OWNV"
"412"	"620310"	583	145.334476843911	"FEES FOR RECREATIONAL LESSONS"
"179"	"340310"	571	167.786339754816	"DOMESTIC SERVICE"
"371"	"580903"	558	178.612903225806	"COML MEDICARE SUPPLEMNT (NO BCBS)"
"569"	"900002"	556	73.8687050359712	"OCCUPATIONAL EXPENSES (QUARTERLY)"
"565"	"880110"	540	179.218518518519	"INTEREST, HM EQ LN (CRDT), OWND"
"299"	"480213"	518	82.8976833976834	"PARTS/EQUIP/ACCESSORIES"
"101"	"280120"	514	73.7451361867704	"BEDROOM LINENS"
"19"	"190904"	505	79.1782178217822	"FOOD PREPARED BY CU ON TRIPS"
"339"	"530110"	501	651.37125748503	"AIRLINE FARES"
"200"	"340915"	498	44.004016064257	"HOME SECURITY SYS. SERV. FEE"
"87"	"270104"	495	16.0787878787879	"PHONE CARDS"
"416"	"620420"	478	204.479079497908	"VET SERVICES"
"363"	"580111"	477	159.79035639413	"TRD FEE FOR SRV HLTH P (NO BCBS)"
"236"	"380420"	443	41.3972911963883	"WOMENS UNDERGARMENTS"
"184"	"340530"	438	10.189497716895	"COIN-OP HSHLD LNDRY, DRY CLN"
"566"	"880120"	435	-622.227586206897	"PRNCPL, HM EQ LN (CRDT), OWND"
"230"	"380312"	432	60.9560185185185	"WOMENS VESTS AND SWEATERS"
"223"	"370314"	423	59.6028368794326	"BOYS PANTS AND SHORTS"
"264"	"430120"	421	223.339667458432	"JEWELRY"
"344"	"530412"	420	38.2238095238095	"TAXI FARES AND LIMOUSINE SERVICE"
"364"	"580112"	417	219.57793764988	"TRD FEE FOR SRV HLTH P (BCBS)"
"498"	"800121"	417	456.546762589928	"CHILD SUPPORT EXPENDITURES"
"245"	"390223"	410	62.190243902439	"GIRLS SKIRTS, PANTS, AND SHORTS"
"430"	"630210"	408	52.2867647058824	"OTHER TOBACCO PRODUCTS"
"239"	"380901"	404	51.1361386138614	"WOMENS ACCESSORIES"
"244"	"390210"	397	53.1309823677582	"GIRLS SHIRTS/BLOUSES/SWEATERS"
"228"	"380210"	393	115.460559796438	"WOMENS DRESSES"
