Program,PriorExp,Rexperience,OperatingSystem,TVhours,Editor
MISM,Some experience,Never used,Windows,1,Microsoft Word
Other,Some experience,Basic competence,Windows,8,Microsoft Word
MISM,Extensive experience,Basic competence,Windows,4,Microsoft Word
PPM,Never programmed before,Installed on machine,Windows,5,Microsoft Word
Other,Never programmed before,Never used,Windows,3,Microsoft Word
PPM,Some experience,Never used,Mac OS X,10,Microsoft Word
Other,Some experience,Never used,Mac OS X,0,Microsoft Word
MISM,Some experience,Never used,Windows,10,Microsoft Word
PPM,Never programmed before,Never used,Mac OS X,15,Microsoft Word
PPM,Extensive experience,Never used,Windows,4,Microsoft Word
MISM,Extensive experience,Installed on machine,Mac OS X,0,Microsoft Word
PPM,Never programmed before,Never used,Windows,0,Microsoft Word
PPM,Some experience,Never used,Mac OS X,10,Microsoft Word
PPM,Never programmed before,Never used,Mac OS X,4,Microsoft Word
PPM,Some experience,Never used,Windows,10,Microsoft Word
PPM,Some experience,Never used,Mac OS X,2,Microsoft Word
PPM,Never programmed before,Installed on machine,Windows,5,Microsoft Word
MISM,Extensive experience,Never used,Mac OS X,3,Microsoft Word
MISM,Extensive experience,Never used,Windows,0,Microsoft Word
MISM,Some experience,Never used,Windows,1,Microsoft Word
PPM,Some experience,Installed on machine,Mac OS X,2,Microsoft Word
PPM,Never programmed before,Never used,Windows,7,Microsoft Word
MISM,Some experience,Never used,Windows,3,Microsoft Word
Other,Never programmed before,Never used,Mac OS X,10,Microsoft Word
PPM,Never programmed before,Never used,Mac OS X,6,Microsoft Word
PPM,Never programmed before,Installed on machine,Mac OS X,40,Microsoft Word
MISM,Some experience,Never used,Mac OS X,0,Microsoft Word
PPM,Some experience,Installed on machine,Windows,12,Microsoft Word
Other,Never programmed before,Never used,Mac OS X,0,Microsoft Word
Other,Never programmed before,Never used,Windows,3,Microsoft Word
MISM,Some experience,Installed on machine,Windows,0,Microsoft Word
