Program,PriorExp,Rexperience,OperatingSystem,TVhours,Editor
MISM,Some experience,Installed on machine,Mac OS X,0,Microsoft Word
PPM,Some experience,Never used,Windows,4orso,Microsoft Word
PPM,Never programmed before,Never used,Mac OS X,5,Microsoft Word
mISM,Some experience,Never used,Windows,2,Microsoft Word
ppm,Never programmed before,Installed on machine,Mac OS X,5,Microsoft Word
PPM,Never programmed before,Never used,Windows,10,Other
MISM,Some experience,Never used,Windows,~3.5,Microsoft Word
PPm,Some experience,Never used,Mac OS X,1,Microsoft Word
PPM,Never programmed before,Never used,Mac OS X,0,Microsoft Word
PPM,Never programmed before,Installed on machine,Windows,2,Microsoft Word
PPM,Never programmed before,Never used,Mac OS X,0,LaTeX
PPM,Never programmed before,Never used,Windows,0,Microsoft Word
PPM,Never programmed before,Never used,Windows,0,Microsoft Word
PPM,Never programmed before,Never used,Mac OS X,3,Microsoft Word
PPM,Some experience,Never used,Windows,3,Microsoft Word
ppM,Some experience,Never used,Windows,none,Microsoft Word
pPM,Some experience,Never used,Windows,2,Microsoft Word
PPM,Some experience,Never used,Mac OS X,10ish,Microsoft Word
PPM,Never programmed before,Never used,Mac OS X,2,Microsoft Word
PPM,Some experience,Never used,Mac OS X,3,Other
PPM,Some experience,Never used,Windows,3,Microsoft Word
other,Some experience,Basic competence,Mac OS X,5,Microsoft Word
PPM,Never programmed before,Never used,Windows,6,Microsoft Word
mism,Some experience,Never used,Windows,15,Microsoft Word
Other,Some experience,Basic competence,Mac OS X,1,Microsoft Word
PPM,Never programmed before,Installed on machine,Windows,1,Other
ppm,Some experience,Never used,Windows,0,Microsoft Word
